Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2011-09-22,Wendler Deadlift Week 1,1111.3013065,true,false,6735,,"2450 lbs | 18 reps | 115 lbs, 135 lbs, and 150 lbs (8) | 5, 5, and 8","","5 Deadlifts 115 lbs
5 Deadlifts 135 lbs
8 Deadlifts 150 lbs"
2011-09-19,Row 1 km TT,231400,true,false,38568,,,"",1000 m Rows 3 mins 51.4 secs
2011-09-19,Wendler Back Squat: Week 1,1061.4061458,true,false,7601,,"2340 lbs | 19 reps | 105 lbs, 120 lbs, and 135 lbs (9) | 5, 5, and 9","","5 Back Squats 105 lbs
5 Back Squats 120 lbs
9 Back Squats 135 lbs"
2011-09-19,Team Karen,705000,true,false,80938,,,"Partner must compete 3 20"" box jumps before 2nd team member can start.",300 8 ft Wall Balls 14 lbs
2011-09-17,15-12-9-6-3: Power Cleans and Burpee (Bar Facing)s,679000,true,false,26329,,,"","15 Power Cleans 95 lbs
15 Bar Facing Burpees
12 Power Cleans 95 lbs
12 Bar Facing Burpees
9 Power Cleans 95 lbs
9 Bar Facing Burpees
6 Power Cleans 95 lbs
6 Bar Facing Burpees
3 Power Cleans 95 lbs
3 Bar Facing Burpees"
2011-09-17,CrossFit Total,217.7243376,true,false,1170,,,"PRs on all three lifts:
Backsquat + 20#
Shoulder Press + 15#
Deadlift + 35#","1 Back Squat 175 lbs
1 Shoulder Press 95 lbs
1 Deadlift 210 lbs"
2011-09-14,"Snatch Grip Deadlifts, Box Jumps, Push Up (Weighted)s",1800.7617089,true,false,33679,,"3970 lbs | 105 lbs, 15 lbs (10), 125 lbs, 15 lbs (7), 135 lbs, 15 lbs (7), 145 lbs, 15 lbs (7), 155 lbs, and 15 lbs (12)","","5 Snatch Grip Deadlifts 105 lbs
5 24 in Box Jumps
10 Weighted Push-ups 15 lbs
5 Snatch Grip Deadlifts 125 lbs
5 27 in Box Jumps
7 Weighted Push-ups 15 lbs
5 Snatch Grip Deadlifts 135 lbs
5 30 in Box Jumps
7 Weighted Push-ups 15 lbs
5 Snatch Grip Deadlifts 145 lbs
5 31 in Box Jumps
7 Weighted Push-ups 15 lbs
5 Snatch Grip Deadlifts 155 lbs
5 31.5 in Box Jumps
12 Weighted Push-ups 15 lbs"
2011-09-13,"Chipper: Thrusters, Sumo Deadlift High Pulls, Push Jerks and 2 more",657000,true,false,50636,,,"","20 Thrusters 65 lbs
20 Sumo Deadlift High-pulls 65 lbs
20 Push Jerks 65 lbs
20 Hang Power Cleans 65 lbs
20 Front Squats 65 lbs
40 Burpees"
2011-09-12,Squat Clean 3-3-3-3-3-3-3-3-3-3,1360.77711,true,false,21174,,"3000 lbs | 100 lbs, 100 lbs, 100 lbs, 100 lbs, 100 lbs, 100 lbs, 100 lbs, 100 lbs, 100 lbs, and 100 lbs","","10 rounds of:
3 Squat Cleans 100 lbs"
2011-09-09,"Kettlebell Swings, Box Jump (24 in.)s",9.0,false,false,24413,,,"","9 rounds of:
3 Kettlebell Swings 16 kg
6 Box Jump (24 In.)s"
2011-09-09,"Front Squats, Ring Dips",4.0,false,false,8509,,,"","4 rounds of:
6 Front Squats 95 lbs
8 Parallette Dips"
2011-09-09,Wendler Shoulder Press: Week 3,337.92631565,true,false,1315,,"745 lbs | 10 reps | 70 lbs, 75 lbs, and 85 lbs (2) | 5, 3, and 2","","5 Shoulder Press 70 lbs
3 Shoulder Press 75 lbs
2 Shoulder Press 85 lbs"
2011-09-08,"Chain Drags, Rests",0,false,false,0,,,"","4 rounds of:
104 m Chain Drags 210 lbs 30 secs
Rests 3 mins"
2011-09-08,Run 1 mi TT,500000,true,false,0,500000,8 mins 20 secs,"",1600 m Runs 8 mins 20 secs
2011-09-08,Wendler Deadlift: Week 4,578.33027175,true,false,4044,,"1275 lbs | 15 reps | 70 lbs, 85 lbs, and 100 lbs | 5, 5, and 5 reps","","5 Deadlifts 70 lbs
5 Deadlifts 85 lbs
5 Deadlifts 100 lbs"
2011-09-07,Thruster 3-3-3-3-3,693.9963261,true,false,8189,,"1530 lbs | 85 lbs, 95 lbs, 105 lbs, 110 lbs, and 115 lbs","","3 Thrusters 85 lbs
3 Thrusters 95 lbs
3 Thrusters 105 lbs
3 Thrusters 110 lbs
3 Thrusters 115 lbs"
2011-09-07,Row for meters: 5x 1:00 row/ 2:00 min rest,1395.0,true,false,62469,,,"","288 m Rows 1 min
288 m Rows 1 min
273 m Rows 1 min
280 m Rows 1 min
266 m Rows 1 min"
2011-09-06,Wendler Bench Press: Week 3,630.4933943,true,false,2454,,"1390 lbs | 16 reps | 75 lbs, 85 lbs, and 95 lbs (8) | 5, 3, and 8","","5 Bench Press 75 lbs
3 Bench Press 85 lbs
8 Bench Press 95 lbs"
2011-09-05,Collin,908000,false,false,25150,,,"","3 rounds of:
400 m Sandbag Carries 25 lbs
12 Push Press 55 lbs
12 Box Jump (20 In.)s
12 Sumo Deadlift High-pulls 55 lbs"
2011-09-05,Wendler Back Squat: Week 4,510.29141625,true,false,4833,,"1125 lbs | 15 reps | 60 lbs (5), 75 lbs (5), and 90 lbs (5) | 5, 5, and 5 reps","","5 Back Squats 60 lbs
5 Back Squats 75 lbs
5 Back Squats 90 lbs"
2011-09-02,"Back Squats, Push-ups, Deadlifts, Row (calories)s (2)",158,true,false,37462,,,"","27 Back Squats 125 lbs 3 mins
38 Push-ups 3 mins
44 Deadlifts 125 lbs 3 mins
49 Row Calories 3 mins"
2011-09-01,"Squat Snatches, Push-ups",4.2,true,false,38404,,,"","4 rounds of:
10 Squat Snatches 65 lbs
10 Push-ups
plus a partial round of:
4 Squat Snatches 65 lbs
0 Push-ups"
2011-09-01,Wendler Shoulder Press: Week 2,290.2991168,true,false,1130,,"640 lbs | 10 reps | 55 lbs, 65 lbs, and 70 lbs (4) | 3, 3, and 4","","3 Shoulder Press 55 lbs
3 Shoulder Press 65 lbs
4 Shoulder Press 70 lbs"
2011-08-31,Back Squat 5-5-5-5-5,1871.06852625,true,false,13702,,"4125 lbs | 85 lbs, 100 lbs, 115 lbs, 130 lbs, 145 lbs, 125 lbs (5), and 125 lbs (5)","","5 Back Squats 85 lbs
5 Back Squats 100 lbs
5 Back Squats 115 lbs
5 Back Squats 130 lbs
5 Back Squats 145 lbs
5 Back Squats 125 lbs
5 Back Squats 125 lbs"
2011-08-31,Farmers Walk (Kettlebell),0.0,true,false,0,,"32 kg, 40 kg, 48 kg, and 48 kg","","220 ft Farmers Walk (Kettlebell)s 32 kg
220 ft Farmers Walk (Kettlebell)s 40 kg
220 ft Farmers Walk (Kettlebell)s 48 kg
220 ft Farmers Walk (Kettlebell)s 48 kg"
2011-08-31,Wendler Deadlift Week 3,836.87792265,true,false,4977,,"1845 lbs | 13 reps | 125 lbs, 140 lbs, and 160 lbs (5) | 5, 3, and 5","","5 Deadlifts 125 lbs
3 Deadlifts 140 lbs
5 Deadlifts 160 lbs"
2011-08-30,Bradley,1390000,false,false,44186,,,"","7 rounds of:
100 m Runs
5 Pull-ups
100 m Runs
10 Burpees
Rests 30 secs"
2011-08-30,Wendler Bench Press: Week 2,571.5263862,true,false,2224,,"1260 lbs | 15 reps | 70 lbs, 80 lbs, and 90 lbs (9) | 3, 3, and 9","","3 Bench Press 70 lbs
3 Bench Press 80 lbs
9 Bench Press 90 lbs"
2011-08-29,"Max Effort Bench Presses and Pull-ups,  Candle Sticks",113,false,false,10731,,,pull-ups with blue band,"10 Bench Press 95 lbs
5 Strict Pull-ups
15 Candle Sticks
8 Bench Press 95 lbs
4 Strict Pull-ups
15 Candle Sticks
8 Bench Press 95 lbs
5 Strict Pull-ups
15 Candle Sticks
9 Bench Press 95 lbs
4 Strict Pull-ups
15 Candle Sticks"
2011-08-29,Wendler Back Squat: Week 3,673.58466945,true,false,4812,,"1485 lbs | 12 reps | 110 lbs (5), 125 lbs (3), and 140 lbs (4) | Completed","","5 Back Squats 110 lbs
3 Back Squats 125 lbs
4 Back Squats 140 lbs"
2011-08-27,Overhead Squat 5-4-3-2-1-1-1-1-1,666.7807839,true,false,6195,,"1470 lbs | 55 lbs, 65 lbs, 75 lbs, 85 lbs, 95 lbs, 100 lbs, 105 lbs, 115 lbs, and 125 lbs",NEW PR!!,"5 Overhead Squats 55 lbs
4 Overhead Squats 65 lbs
3 Overhead Squats 75 lbs
2 Overhead Squats 85 lbs
1 Overhead Squat 95 lbs
1 Overhead Squat 100 lbs
1 Overhead Squat 105 lbs
1 Overhead Squat 115 lbs
1 Overhead Squat 125 lbs"
2011-08-27,"5 RFT: Double Unders, Box Jumps and Kettlebell Swings",1443000,false,false,84052,,,"","40 Double Unders
30 Box Jump (24 In.)s
20 Kettlebell Swings 1 pood
40 Double Unders
30 Box Jump (20 In.)s
20 Kettlebell Swings 1 pood
40 Double Unders
30 Box Jump (20 In.)s
20 Kettlebell Swings 1 pood
40 Double Unders
30 Box Jump (20 In.)s
20 Kettlebell Swings 1 pood
40 Double Unders
30 Box Jump (20 In.)s
20 Kettlebell Swings 1 pood"
2011-08-26,8 x 200m sprints,0,true,false,0,,,"","200 m Sprints 42.65 secs
200 m Sprints 45.15 secs
200 m Sprints 51.38 secs
200 m Sprints 53.75 secs
200 m Sprints 1 min 0.46 secs
200 m Sprints 43.28 secs
200 m Sprints 54.81 secs
200 m Sprints 51.08 secs"
2011-08-26,Wendler Shoulder Press: Week 1,544.310844,true,false,2118,,"1200 lbs | 20 reps | 50 lbs, 60 lbs, and 65 lbs (10) | 5, 5, and 10","","5 Shoulder Press 50 lbs
5 Shoulder Press 60 lbs
10 Shoulder Press 65 lbs"
2011-08-25,Run 800 m TT,230000,true,false,0,230000,3 mins 50 secs,"Splits:
First 400-2:00
Second 400-1:50",800 m Runs 3 mins 50 secs
2011-08-25,Muscle Up (Strict)s : 30,5517,false,false,5517,,,"Pull-ups with Band
Dips with Band","35 Pull-up (green band)s
35 Bar Dip (assisted)s
40 Hollow Rocks"
2011-08-25,Wendler Deadlift Week 2,891.30900705,true,false,5316,,"1965 lbs | 14 reps | 120 lbs, 135 lbs, and 150 lbs (8) | 3, 3, and 8","","3 Deadlifts 120 lbs
3 Deadlifts 135 lbs
8 Deadlifts 150 lbs"
2011-08-24,Coe,536000,false,false,45384,,,RPUs on Knees,"7 rounds of:
10 Thrusters 45 lbs
10 Ring Push-ups"
2011-08-23,Push-ups : Max Set,23,true,false,6789,,,"",23 Push-ups
2011-08-23,Double Unders : Max Set,44,true,false,3678,,,"",44 Double Unders
2011-08-23,Box Jump : Max Height,0.7874,true,false,0,,31 in,"",31 in Max Effort Box Jumps
2011-08-23,Pull-ups : Max Set,8,true,false,2161,,,"",8 Pull-ups
2011-08-23,Wendler Bench Press: Week 1,689.4604024,true,false,2683,,"1520 lbs | 18 reps | 75 lbs, 85 lbs, and 90 lbs (8) | 5, 5, and 8","","5 Bench Press 75 lbs
5 Bench Press 85 lbs
8 Bench Press 90 lbs"
2011-08-22,CF Citadel O-course,4.611,false,false,50572,,,15 min,"4 rounds of:
5 Deadlifts 125 lbs
1 15 ft Rope Climb
100 ft Runs
1 Over/Under Obstacle
1 Over/Under Obstacle
2 Kettlebell Ground To Overhead (One Arm L)s 1 pood
2 Kettlebell Ground To Overhead (One Arm R)s 1 pood
20 Double Unders
10 Wall Ball (2 For 1)s 10 lbs
plus a partial round of:
5 Deadlifts 125 lbs
1 15 ft Rope Climb
100 ft Runs
1 Over/Under Obstacle
1 Over/Under Obstacle
1 Kettlebell Ground To Overhead (One Arm L) 1 pood
0 Kettlebell Ground To Overhead (One Arm R)s 1 pood
0 Double Unders
0 Wall Ball (2 For 1)s 10 lbs"
2011-08-22,Wendler Back Squat: Week 2,662.2448602,true,false,4571,,"1460 lbs | 11 reps | 115 lbs, 130 lbs, and 145 lbs (5) | 3, 3, and 5","","3 Back Squats 115 lbs
3 Back Squats 130 lbs
5 Back Squats 145 lbs"
2011-08-19,"""Tag Team"": KB Swings and Runs",912000,true,false,35791,,,Solo with Ghost partner,"52 Kettlebell Swings 1 pood
400 m Runs
39 Kettlebell Swings 1 pood
400 m Runs
34 Kettlebell Swings 1 pood
400 m Runs
25 Kettlebell Swings 1 pood"
2011-08-19,Wendler Deadlift Week 1,1122.64111575,true,false,6934,,"2475 lbs | 20 reps | 105 lbs, 120 lbs, and 135 lbs (10) | 5, 5, and 10","","5 Deadlifts 105 lbs
5 Deadlifts 120 lbs
10 Deadlifts 135 lbs"
2011-08-18,Front Squat 3-3-3-3-3,646.36912725,true,false,5318,,"1425 lbs | 85 lbs, 90 lbs, 95 lbs, 100 lbs, and 105 lbs","","3 Front Squats 85 lbs
3 Front Squats 90 lbs
3 Front Squats 95 lbs
3 Front Squats 100 lbs
3 Front Squats 105 lbs"
2011-08-18,Power Clean 1-1-1-1-1-1-1,362.873896,true,false,4641,,"800 lbs | 95 lbs, 105 lbs, 110 lbs, 115 lbs, 120 lbs, 125 lbs, and 130 lbs",NEW PR!! Three attempts at 130,"1 Power Clean 95 lbs
1 Power Clean 105 lbs
1 Power Clean 110 lbs
1 Power Clean 115 lbs
1 Power Clean 120 lbs
1 Power Clean 125 lbs
1 Power Clean 130 lbs"
2011-08-13,Cindy,11.267,false,false,49104,,,"","11 rounds of:
5 Pull-ups
10 Push-up (knees)s
15 Air Squats
plus a partial round of:
4 Pull-ups
0 Push-up (knees)s
0 Air Squats"
2011-08-12,Helen,813000,false,false,72107,,13 mins 33 secs,"","3 rounds of:
400 m Runs
21 Kettlebell Swings 1 pood
24 Jumping Pull-ups"
2011-08-11,"Push-up (rings)s, Rests",20,true,false,5903,,,"","6 Ring Push-ups
Rests 3 mins
8 Ring Push-ups
Rests 3 mins
6 Ring Push-ups
Rests 3 mins"
2011-08-11,Shoulder Stand (Rings)s,0,false,false,0,,,on parallets,"10 rounds of:
Shoulder Stand (Rings)s 10 secs"
2011-08-11,Wendler Deadlift: Week 4,544.310844,true,false,3895,,"1200 lbs | 15 reps | 65 lbs, 80 lbs, and 95 lbs | 5, 5, and 5 reps","","5 Deadlifts 65 lbs
5 Deadlifts 80 lbs
5 Deadlifts 95 lbs"
2011-08-10,Clean & Jerk 1-1-1-1-1-1-1,238.13599425,false,false,4365,,"525 lbs | 85 lbs, 95 lbs, 105 lbs, 115 lbs, and 125 lbs","Missed 125 on first attempt, tried for 135 no success","1 Clean & Jerk 85 lbs
1 Clean & Jerk 95 lbs
1 Clean & Jerk 105 lbs
1 Clean & Jerk 115 lbs
1 Clean & Jerk 125 lbs"
2011-08-10,Grace,198000,false,false,19222,,,"",30 Clean & Jerks 65 lbs
2011-08-10,Hang Power Snatch 3-3-3-3-3,265.35153645,false,false,3424,,"585 lbs | 55 lbs, 65 lbs, and 75 lbs","","3 Hang Power Snatches 55 lbs
3 Hang Power Snatches 65 lbs
3 Hang Power Snatches 75 lbs"
2011-08-10,Baseline,453000,true,false,21621,,,"","500 m Rows
40 Air Squats
30 AbMat Sit-ups
20 Push-ups
10 Pull-ups"
2011-08-09,"V Up Situps, V Outs",0,false,false,0,,,"","50 V Up Situps
50 V Outs"
2011-08-09,Slacklines,0,true,false,0,,,"",Slacklines
2011-08-09,Wendler Bench Press: Week 4,442.25256075,true,false,1721,,"975 lbs | 15 reps | 55 lbs, 65 lbs, and 75 lbs | 5, 5, and 5 reps","","5 Bench Press 55 lbs
5 Bench Press 65 lbs
5 Bench Press 75 lbs"
2011-08-08,Wendler Shoulder Press: Week 3,378.74962895,true,false,1474,,"835 lbs | 12 reps | 65 lbs, 70 lbs, and 75 lbs (4) | 5, 3, and 4","","5 Shoulder Press 65 lbs
3 Shoulder Press 70 lbs
4 Shoulder Press 75 lbs"
2011-08-08,Wendler Back Squat: Week 4,521.6312255,true,false,4874,,"1150 lbs | 15 reps | 65 lbs (5), 75 lbs (5), and 90 lbs (5) | 5, 5, and 5 reps","","5 Back Squats 65 lbs
5 Back Squats 75 lbs
5 Back Squats 90 lbs"
2011-08-08,2011 CrossFit Games Event 10,1026000,false,false,39261,,,"","20 Rows
30 Wall Balls 14 lbs
20 Toes-to-bars
30 Box Jump (24 In.)s
20 Sumo Deadlift High-pulls 1 pood
30 Burpees
20 Shoulder-to-Overheads 65 lbs
120 ft Sled Pulls 165 lbs"
2011-08-04,"Handstand Walks, Dead Hang Pull Ups, Bar Muscle Ups",18086,false,false,18086,,,"Need to work on Chest to Bar
Assisted Handstand Walk
Negative Pull-ups
Negative Bar Dips","7 rounds of:
10 ft Handstand Walks
5 Dead Hang Pull Ups
2 Chest-to-bar Pull-ups
2 Bar Dips"
2011-08-04,Wendler Deadlift Week 3,591.93804285,true,false,3601,,"1305 lbs | 10 reps | 120 lbs, 135 lbs, and 150 lbs (2) | 5, 3, and 2","","5 Deadlifts 120 lbs
3 Deadlifts 135 lbs
2 Deadlifts 150 lbs"
2011-08-03,"Triplet, Sprint",538000,false,false,21785,,,"","5 Muscle-up (feet on ground)s
10 Deadlifts 115 lbs
15 GHD Sit-ups
100 m Runs
5 Muscle-up (feet on ground)s
10 Deadlifts 115 lbs
15 GHD Sit-ups
100 m Runs
5 Muscle-up (feet on ground)s
10 Deadlifts 115 lbs
15 GHD Sit-ups
200 m Runs"
2011-08-02,Sprint 200 meters,252000,false,false,0,,,"","Runs 45 secs
Runs 43 secs
Runs 40 secs
Runs 43 secs
Runs 41 secs
Runs 40 secs
Runs
Runs
Runs
Runs"
2011-08-02,Wendler Bench Press: Week 3,553.3826914,true,false,2154,,"1220 lbs | 15 reps | 70 lbs, 80 lbs, and 90 lbs (7) | 5, 3, and 7",6 months ago 90 lbs was my one rep max.,"5 Bench Press 70 lbs
3 Bench Press 80 lbs
7 Bench Press 90 lbs"
2011-08-01,8/1/11 Crossfit Citadel,245,false,false,49300,,,"","10 Big Tire Flips 1 min
32 Sit-up (standard)s 1 min
11 Wall Balls 1 min
35 Air Squats 1 min
40 Push-ups 1 min
11 Big Tire Flips 1 min
34 Sit-up (standard)s 1 min
12 Wall Balls 1 min
35 Air Squats 1 min
27 Push-ups 1 min"
2011-08-01,Wendler Back Squat: Week 3,607.8137758,true,false,4371,,"1340 lbs | 11 reps | 115 lbs (5), 120 lbs (3), and 135 lbs (3) | Completed","","5 Back Squats 115 lbs
3 Back Squats 120 lbs
3 Back Squats 135 lbs"
2011-07-31,Isabel,315000,false,false,15108,,,"",30 Power Snatches 65 lbs 5 mins 15 secs
2011-07-30,"Kettlebell Thrusters, Double Unders",381000,false,false,7506,,,"","20 Kettlebell Thrusters 8 kg
40 Double Unders
15 Kettlebell Thrusters 12 kg
30 Double Unders
10 Kettlebell Thrusters 1 pood
20 Double Unders"
2011-07-29,"Handstand Push-ups, Sled Drags, Box Jump (12 in.)s, Runs",8.0,true,false,14215,,,Sled drag was a chain,"5 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs
0 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs
0 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs
0 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs
0 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs
0 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs
0 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs
0 Handstand Push-ups
15 ft Sled Drags 100 lbs
10 Box Jump (12 In.)s
200 m Runs"
2011-07-29,Double Unders : 500 Reps for Time,949000,true,false,41700,,,"",500 Double Unders 15 mins 49 secs
2011-07-29,Wendler Shoulder Press: Week 2,319.78262085,true,false,1245,,"705 lbs | 10 reps | 65 lbs, 70 lbs, and 75 lbs (4) | 3, 3, and 4","","3 Shoulder Press 65 lbs
3 Shoulder Press 70 lbs
4 Shoulder Press 75 lbs"
2011-07-29,Double Unders : Max Set,43,true,false,3586,,,"",43 Double Unders
2011-07-28,Nicole,42,true,false,82281,,"6.0 rounds | 42 reps | 8, 7, 7, 6, 7, and 7 reps",First Rx'd WOD with Pull-ups!!,"400 m Runs
7 Pull-ups
400 m Runs
6 Pull-ups
400 m Runs
6 Pull-ups
400 m Runs
5 Pull-ups
400 m Runs
6 Pull-ups
400 m Runs
6 Pull-ups"
2011-07-28,Pull-ups : Max Set,7,true,false,1886,,,"",7 Pull-ups
2011-07-28,Wendler Deadlift Week 2,596.47396655,true,false,3619,,"1315 lbs | 10 reps | 115 lbs, 130 lbs, and 145 lbs (4) | 3, 3, and 4","","3 Deadlifts 115 lbs
3 Deadlifts 130 lbs
4 Deadlifts 145 lbs"
2011-07-27,The Bear,5.0,true,false,44883,,,"","7 Power Cleans 55 lbs
7 Front Squats 55 lbs
7 Push Press 55 lbs
7 Back Squats 55 lbs
7 Push Press 55 lbs
7 Power Cleans 55 lbs
7 Front Squats 55 lbs
7 Push Press 55 lbs
7 Back Squats 55 lbs
7 Push Press 55 lbs
7 Power Cleans 65 lbs
7 Front Squats 65 lbs
7 Push Press 65 lbs
7 Back Squats 65 lbs
7 Push Press 65 lbs
7 Power Cleans 65 lbs
7 Front Squats 65 lbs
7 Push Press 65 lbs
7 Back Squats 65 lbs
7 Push Press 65 lbs
7 Power Cleans 75 lbs
7 Front Squats 75 lbs
7 Push Press 75 lbs
7 Back Squats 75 lbs
7 Push Press 75 lbs"
2011-07-27,"""Tabata"" - Push-ups : 8 x 20 secs / 10 secs",78,false,false,22968,,,On Knees,"14 Push-ups 20 secs
Rests 10 secs
9 Push-ups 20 secs
Rests 10 secs
9 Push-ups 20 secs
Rests 10 secs
10 Push-ups 20 secs
Rests 10 secs
9 Push-ups 20 secs
Rests 10 secs
9 Push-ups 20 secs
Rests 10 secs
9 Push-ups 20 secs
Rests 10 secs
9 Push-ups 20 secs
Rests 10 secs"
2011-07-26,C2 3 x 500 for time,1500.0,true,false,59211,,,"","500 m Rows 1 min 48 secs
500 m Rows 1 min 58 secs
500 m Rows 1 min 58 secs"
2011-07-26,Wendler Bench Press: Week 2,498.951607,true,false,1942,,"1100 lbs | 14 reps | 65 lbs, 75 lbs, and 85 lbs (8) | 3, 3, and 8","","3 Bench Press 65 lbs
3 Bench Press 75 lbs
8 Bench Press 85 lbs"
2011-07-25,"Runs, Hand to hand KB swings, L Sits",1168000,false,false,0,,,"","3 rounds of:
800 m Runs
20 Hand to hand KB swings 12 kg
L Sits 30 secs"
2011-07-25,Wendler Back Squat: Week 2,576.0623099,true,false,4258,,"1270 lbs | 11 reps | 100 lbs, 115 lbs, and 125 lbs (5) | 3, 3, and 5","","3 Back Squats 100 lbs
3 Back Squats 115 lbs
5 Back Squats 125 lbs"
2011-07-25,"""Death By"" - Pull-ups : 1 rep + 1 rep / 1 min",8.0,true,false,9699,,8.0 rounds,"","1 Pull-up
2 Pull-ups
3 Pull-ups
4 Pull-ups
5 Pull-ups
6 Pull-ups
7 Pull-ups
8 Pull-ups"
2011-07-25,Pull-ups : Max Set,5,true,false,1347,,,"",5 Pull-ups
2011-07-23,Helen,988000,false,false,61757,,16 mins 28 secs,First 7 pull-ups as prescribed the rest on an assistance machine using 50lbs assistance,"3 rounds of:
400 m Runs
21 Kettlebell Swings 1 pood
12 Pull-ups"
2011-07-22,Wendler Shoulder Press: Week 1,462.6642174,true,false,1801,,"1020 lbs | 18 reps | 45 lbs, 55 lbs, and 65 lbs (8) | 5, 5, and 8","","5 Shoulder Press 45 lbs
5 Shoulder Press 55 lbs
8 Shoulder Press 65 lbs"
2011-07-22,"Back Squat 80%s, Barrier Hop Burpees",60,true,false,0,,,"18"" box jump over Burpees","10 rounds of:
3 Back Squat 80%s 125 lbs
3 Barrier Hop Burpees"
2011-07-21,DT,586000,false,false,34895,,,"","5 rounds of:
12 Deadlifts 75 lbs
9 Hang Power Cleans 75 lbs
6 Push Jerks 75 lbs"
2011-07-21,Wendler Deadlift Week 1,902.6488163,true,false,5563,,"1990 lbs | 16 reps | 105 lbs, 125 lbs, and 140 lbs (6) | 5, 5, and 6","","5 Deadlifts 105 lbs
5 Deadlifts 125 lbs
6 Deadlifts 140 lbs"
2011-07-20,Wendler Bench Press: Week 1,625.9574706,true,false,2436,,"1380 lbs | 17 reps | 70 lbs, 80 lbs, and 90 lbs (7) | 5, 5, and 7","","5 Bench Press 70 lbs
5 Bench Press 80 lbs
7 Bench Press 90 lbs"
2011-07-19,"Time Trials - Runs, Pull-ups, Air Squats, Push-ups",266000,false,false,43359,,,"","400 m Runs 1 min 21 secs
34 Pull-up (blue band)s
100 Air Squats
57 Push-ups
800 m Runs 3 mins 5 secs"
2011-07-19,Run 400 m TT,81000,true,false,0,,,"",400 m Runs 1 min 21 secs
2011-07-19,Run 800 m TT,185000,true,false,0,,,"",800 m Runs 3 mins 5 secs
2011-07-19,Wendler Back Squat: Week 1,938.9362059,true,false,6754,,"2070 lbs | 17 reps | 105 lbs, 120 lbs, and 135 lbs (7) | 5, 5, and 7","","5 Back Squats 105 lbs
5 Back Squats 120 lbs
7 Back Squats 135 lbs"
2011-07-19,Double Unders : 500 Reps for Time,1538000,true,false,41700,,,"",500 Double Unders
2011-07-18,FT: Thrusters and Double Unders,510000,false,false,27149,,,"","10 Thrusters 85 lbs
50 Double Unders
8 Thrusters 85 lbs
40 Double Unders
6 Thrusters 85 lbs
30 Double Unders
4 Thrusters 85 lbs
20 Double Unders
2 Thrusters 85 lbs
10 Double Unders"
2011-07-15,Perform 2 Power Cleans on the minute for 15 minutes.,1338.0974915,true,false,17942,,"15 mins | 2950 lbs | 95 lbs, 95 lbs, 95 lbs, 95 lbs, 95 lbs, 95 lbs, 95 lbs, 95 lbs, 95 lbs, 95 lbs, 105 lbs, 105 lbs, 105 lbs, 105 lbs, and 105 lbs","","2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 95 lbs
2 Power Cleans 105 lbs
2 Power Cleans 105 lbs
2 Power Cleans 105 lbs
2 Power Cleans 105 lbs
2 Power Cleans 105 lbs"
2011-07-14,Overhead Squat 5-5-5-5-5,918.52454925,true,false,8286,,"2025 lbs | 55 lbs, 75 lbs, 85 lbs, 95 lbs, and 95 lbs","","5 Overhead Squats 55 lbs
5 Overhead Squats 75 lbs
5 Overhead Squats 85 lbs
5 Overhead Squats 95 lbs
5 Overhead Squats 95 lbs"
2011-07-13,Cement Mixer (CFNE),994000,false,false,3950,,,"Alternate run 400m and rowing 500m
3 runs 2 rows 5 rounds completed","400 m Runs
12 Toes-to-bars
Rests 1000 mins
500 m Runs
12 Toes-to-bars
Rests 10 secs
400 m Runs
12 Toes-to-bars
Rests 10 secs
500 m Runs
12 Toes-to-bars
Rests 25 secs
400 m Runs
12 Toes-to-bars
Rests 10 secs"
2011-07-11,"5 RFT: 400 m, Deadlifts, Push-ups",1147000,false,false,36217,,,"","4 rounds of:
400 m Runs
10 Deadlifts 105 lbs
10 Push-ups
5 Deadlifts 105 lbs
5 Push-ups"
2011-07-07,Snatch 1-1-1-1-1-1-1,267.6194983,true,false,4936,,"590 lbs | 75 lbs, 80 lbs, 85 lbs, 85 lbs, 85 lbs, 90 lbs, and 90 lbs","","1 Snatch 75 lbs
1 Snatch 80 lbs
1 Snatch 85 lbs
1 Snatch 85 lbs
1 Snatch 85 lbs
1 Snatch 90 lbs
1 Snatch 90 lbs"
2011-07-06,"CFE Front Squats, Box Jump (30 in.), Row",234000,false,false,12842,,,"","5 rounds of:
3 Front Squats 95 lbs
6 Box Jump (18 in.)s
9 Rows"
